Model,Dataset,Metric,Value
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,0.0
BA,ego,orbit,0.0
Data,ego,orbit,1.0
BA,ego,orbit,0.0
Data,ego,nspdk,33673898.0
BA,ego,nspdk,33569198.3
Data,ego,nspdk,12941.0
BA,ego,nspdk,31053.5
Data,ego,nspdk,9704.0
BA,ego,nspdk,33393.8
Data,ego,nspdk,8845.0
BA,ego,nspdk,20245.7
Data,ego,nspdk,9757.0
BA,ego,nspdk,14174.3
Data,ego,nspdk,7950.0
BA,ego,nspdk,15798.8
Data,ego,nspdk,7559.0
BA,ego,nspdk,11367.9
Data,ego,nspdk,6657.0
BA,ego,nspdk,9579.8
Data,ego,nspdk,7196.0
BA,ego,nspdk,8902.1
Data,ego,nspdk,5743.0
BA,ego,nspdk,9120.7
Data,ego,nspdk,4934.0
BA,ego,nspdk,10302.9
Data,ego,nspdk,4887.0
BA,ego,nspdk,8375.9
Data,ego,nspdk,4443.0
BA,ego,nspdk,7742.8
Data,ego,nspdk,4080.0
BA,ego,nspdk,6817.7
Data,ego,nspdk,3444.0
BA,ego,nspdk,6459.0
Data,ego,nspdk,2787.0
BA,ego,nspdk,5333.6
Data,ego,nspdk,2984.0
BA,ego,nspdk,4663.4
Data,ego,nspdk,2525.0
BA,ego,nspdk,3810.0
Data,ego,nspdk,2126.0
BA,ego,nspdk,3589.2
Data,ego,nspdk,2267.0
BA,ego,nspdk,3364.6
Data,ego,nspdk,1945.0
BA,ego,nspdk,2717.8
Data,ego,nspdk,1959.0
BA,ego,nspdk,2672.3
Data,ego,nspdk,1430.0
BA,ego,nspdk,1898.1
Data,ego,nspdk,1613.0
BA,ego,nspdk,2056.6
Data,ego,nspdk,1289.0
BA,ego,nspdk,1782.5
Data,ego,nspdk,1461.0
BA,ego,nspdk,1776.1
Data,ego,nspdk,1130.0
BA,ego,nspdk,1347.3
Data,ego,nspdk,1192.0
BA,ego,nspdk,1408.3
Data,ego,nspdk,1018.0
BA,ego,nspdk,1210.7
Data,ego,nspdk,1093.0
BA,ego,nspdk,888.5
Data,ego,nspdk,817.0
BA,ego,nspdk,1359.7
Data,ego,nspdk,879.0
BA,ego,nspdk,764.9
Data,ego,nspdk,739.0
BA,ego,nspdk,914.9
Data,ego,nspdk,897.0
BA,ego,nspdk,1000.6
Data,ego,nspdk,609.0
BA,ego,nspdk,555.7
Data,ego,nspdk,869.0
BA,ego,nspdk,465.1
Data,ego,nspdk,894.0
BA,ego,nspdk,806.2
Data,ego,nspdk,688.0
BA,ego,nspdk,870.9
Data,ego,nspdk,645.0
BA,ego,nspdk,471.7
Data,ego,nspdk,533.0
BA,ego,nspdk,551.2
Data,ego,nspdk,641.0
BA,ego,nspdk,387.3
Data,ego,nspdk,571.0
BA,ego,nspdk,393.9
Data,ego,nspdk,476.0
BA,ego,nspdk,384.9
Data,ego,nspdk,605.0
BA,ego,nspdk,293.8
Data,ego,nspdk,444.0
BA,ego,nspdk,230.2
Data,ego,nspdk,361.0
BA,ego,nspdk,347.3
Data,ego,nspdk,634.0
BA,ego,nspdk,451.4
Data,ego,nspdk,449.0
BA,ego,nspdk,718.9
Data,ego,nspdk,288.0
BA,ego,nspdk,322.1
Data,ego,nspdk,463.0
BA,ego,nspdk,288.0
Data,ego,nspdk,410.0
BA,ego,nspdk,186.6
Data,ego,nspdk,306.0
BA,ego,nspdk,467.8
Data,ego,nspdk,215.0
BA,ego,nspdk,183.5
Data,ego,nspdk,266.0
BA,ego,nspdk,174.5
Data,ego,nspdk,456.0
BA,ego,nspdk,353.6
Data,ego,nspdk,188.0
BA,ego,nspdk,161.1
Data,ego,nspdk,230.0
BA,ego,nspdk,144.7
Data,ego,nspdk,223.0
BA,ego,nspdk,148.7
Data,ego,nspdk,276.0
BA,ego,nspdk,92.9
Data,ego,nspdk,221.0
BA,ego,nspdk,132.5
Data,ego,nspdk,151.0
BA,ego,nspdk,52.5
Data,ego,nspdk,188.0
BA,ego,nspdk,218.4
Data,ego,nspdk,132.0
BA,ego,nspdk,58.0
Data,ego,nspdk,276.0
BA,ego,nspdk,153.4
Data,ego,nspdk,68.0
BA,ego,nspdk,71.3
Data,ego,nspdk,335.0
BA,ego,nspdk,361.9
Data,ego,nspdk,110.0
BA,ego,nspdk,237.1
Data,ego,nspdk,78.0
BA,ego,nspdk,110.9
Data,ego,nspdk,44.0
BA,ego,nspdk,57.6
Data,ego,nspdk,30.0
BA,ego,nspdk,33.8
Data,ego,nspdk,97.0
BA,ego,nspdk,76.2
Data,ego,nspdk,34.0
BA,ego,nspdk,28.9
Data,ego,nspdk,10.0
BA,ego,nspdk,10.3
Data,ego,nspdk,125.0
BA,ego,nspdk,175.2
Data,ego,nspdk,45.0
BA,ego,nspdk,21.8
Data,ego,nspdk,63.0
BA,ego,nspdk,208.7
Data,ego,nspdk,30.0
BA,ego,nspdk,30.2
Data,ego,nspdk,24.0
BA,ego,nspdk,22.5
Data,ego,nspdk,18.0
BA,ego,nspdk,24.1
Data,ego,nspdk,16.0
BA,ego,nspdk,27.1
Data,ego,nspdk,30.0
BA,ego,nspdk,10.8
Data,ego,nspdk,90.0
BA,ego,nspdk,256.4
Data,ego,nspdk,100.0
BA,ego,nspdk,9.6
Data,ego,nspdk,15.0
BA,ego,nspdk,3.0
Data,ego,nspdk,144.0
BA,ego,nspdk,9.5
Data,ego,nspdk,44.0
BA,ego,nspdk,7.0
Data,ego,nspdk,473.0
BA,ego,nspdk,3.5
Data,ego,nspdk,2.0
BA,ego,nspdk,2.7
Data,ego,nspdk,3.0
BA,ego,nspdk,1.4
Data,ego,nspdk,4.0
BA,ego,nspdk,1.0
Data,ego,nspdk,10.0
BA,ego,nspdk,0.3
Data,ego,nspdk,0.0
BA,ego,nspdk,0.0
Data,ego,nspdk,0.0
BA,ego,nspdk,0.0
Data,ego,nspdk,0.0
BA,ego,nspdk,0.0
Data,ego,nspdk,37.0
BA,ego,nspdk,130.1
Data,ego,nspdk,0.0
BA,ego,nspdk,0.0
Data,ego,nspdk,0.0
BA,ego,nspdk,0.0
Data,ego,nspdk,0.0
BA,ego,nspdk,0.0
Data,ego,nspdk,0.0
BA,ego,nspdk,0.0
Data,ego,nspdk,116.0
BA,ego,nspdk,0.0
Data,ENZYMES,betweenness,813.0
BA,ENZYMES,betweenness,1189.2
Data,ENZYMES,betweenness,151.0
BA,ENZYMES,betweenness,665.8
Data,ENZYMES,betweenness,120.0
BA,ENZYMES,betweenness,393.6
Data,ENZYMES,betweenness,128.0
BA,ENZYMES,betweenness,251.4
Data,ENZYMES,betweenness,101.0
BA,ENZYMES,betweenness,179.8
Data,ENZYMES,betweenness,69.0
BA,ENZYMES,betweenness,136.3
Data,ENZYMES,betweenness,96.0
BA,ENZYMES,betweenness,109.6
Data,ENZYMES,betweenness,105.0
BA,ENZYMES,betweenness,87.9
Data,ENZYMES,betweenness,68.0
BA,ENZYMES,betweenness,70.4
Data,ENZYMES,betweenness,59.0
BA,ENZYMES,betweenness,54.4
Data,ENZYMES,betweenness,59.0
BA,ENZYMES,betweenness,50.8
Data,ENZYMES,betweenness,41.0
BA,ENZYMES,betweenness,40.2
Data,ENZYMES,betweenness,86.0
BA,ENZYMES,betweenness,37.2
Data,ENZYMES,betweenness,62.0
BA,ENZYMES,betweenness,28.5
Data,ENZYMES,betweenness,64.0
BA,ENZYMES,betweenness,29.6
Data,ENZYMES,betweenness,56.0
BA,ENZYMES,betweenness,26.4
Data,ENZYMES,betweenness,37.0
BA,ENZYMES,betweenness,22.0
Data,ENZYMES,betweenness,50.0
BA,ENZYMES,betweenness,18.5
Data,ENZYMES,betweenness,57.0
BA,ENZYMES,betweenness,16.1
Data,ENZYMES,betweenness,39.0
BA,ENZYMES,betweenness,14.5
Data,ENZYMES,betweenness,44.0
BA,ENZYMES,betweenness,13.5
Data,ENZYMES,betweenness,46.0
BA,ENZYMES,betweenness,11.9
Data,ENZYMES,betweenness,36.0
BA,ENZYMES,betweenness,12.0
Data,ENZYMES,betweenness,35.0
BA,ENZYMES,betweenness,9.8
Data,ENZYMES,betweenness,61.0
BA,ENZYMES,betweenness,8.0
Data,ENZYMES,betweenness,45.0
BA,ENZYMES,betweenness,7.4
Data,ENZYMES,betweenness,40.0
BA,ENZYMES,betweenness,6.2
Data,ENZYMES,betweenness,58.0
BA,ENZYMES,betweenness,6.0
Data,ENZYMES,betweenness,51.0
BA,ENZYMES,betweenness,5.3
Data,ENZYMES,betweenness,50.0
BA,ENZYMES,betweenness,4.5
Data,ENZYMES,betweenness,66.0
BA,ENZYMES,betweenness,3.2
Data,ENZYMES,betweenness,80.0
BA,ENZYMES,betweenness,2.6
Data,ENZYMES,betweenness,78.0
BA,ENZYMES,betweenness,3.3
Data,ENZYMES,betweenness,22.0
BA,ENZYMES,betweenness,2.1
Data,ENZYMES,betweenness,19.0
BA,ENZYMES,betweenness,2.1
Data,ENZYMES,betweenness,19.0
BA,ENZYMES,betweenness,2.5
Data,ENZYMES,betweenness,23.0
BA,ENZYMES,betweenness,2.1
Data,ENZYMES,betweenness,17.0
BA,ENZYMES,betweenness,2.0
Data,ENZYMES,betweenness,21.0
BA,ENZYMES,betweenness,1.4
Data,ENZYMES,betweenness,19.0
BA,ENZYMES,betweenness,1.4
Data,ENZYMES,betweenness,10.0
BA,ENZYMES,betweenness,1.2
Data,ENZYMES,betweenness,18.0
BA,ENZYMES,betweenness,0.8
Data,ENZYMES,betweenness,20.0
BA,ENZYMES,betweenness,0.9
Data,ENZYMES,betweenness,21.0
BA,ENZYMES,betweenness,0.3
Data,ENZYMES,betweenness,22.0
BA,ENZYMES,betweenness,0.5
Data,ENZYMES,betweenness,15.0
BA,ENZYMES,betweenness,0.5
Data,ENZYMES,betweenness,14.0
BA,ENZYMES,betweenness,0.6
Data,ENZYMES,betweenness,12.0
BA,ENZYMES,betweenness,0.6
Data,ENZYMES,betweenness,20.0
BA,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,10.0
BA,ENZYMES,betweenness,0.6
Data,ENZYMES,betweenness,7.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,8.0
BA,ENZYMES,betweenness,0.4
Data,ENZYMES,betweenness,12.0
BA,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,9.0
BA,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,8.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,15.0
BA,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,14.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,13.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,15.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,14.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,13.0
BA,ENZYMES,betweenness,0.9
Data,ENZYMES,betweenness,12.0
BA,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,10.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,8.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,16.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,9.0
BA,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,10.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,20.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,23.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,13.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,2.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,5.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,3.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,1.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,1.0
BA,ENZYMES,betweenness,0.0
Data,ENZYMES,clustering,391.0
BA,ENZYMES,clustering,113.7
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.6
Data,ENZYMES,clustering,1.0
BA,ENZYMES,clustering,2.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.3
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,9.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,2.5
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,1.9
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,7.0
Data,ENZYMES,clustering,20.0
BA,ENZYMES,clustering,40.9
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,3.3
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,4.0
Data,ENZYMES,clustering,12.0
BA,ENZYMES,clustering,29.9
Data,ENZYMES,clustering,1.0
BA,ENZYMES,clustering,22.8
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,9.3
Data,ENZYMES,clustering,122.0
BA,ENZYMES,clustering,98.9
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,20.9
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,13.8
Data,ENZYMES,clustering,1.0
BA,ENZYMES,clustering,40.5
Data,ENZYMES,clustering,55.0
BA,ENZYMES,clustering,132.4
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,38.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,32.3
Data,ENZYMES,clustering,6.0
BA,ENZYMES,clustering,50.5
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,28.4
Data,ENZYMES,clustering,1.0
BA,ENZYMES,clustering,70.9
Data,ENZYMES,clustering,13.0
BA,ENZYMES,clustering,89.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,46.6
Data,ENZYMES,clustering,10.0
BA,ENZYMES,clustering,107.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,33.0
Data,ENZYMES,clustering,97.0
BA,ENZYMES,clustering,164.3
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,38.8
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,62.1
Data,ENZYMES,clustering,545.0
BA,ENZYMES,clustering,355.4
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,37.9
Data,ENZYMES,clustering,5.0
BA,ENZYMES,clustering,61.3
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,45.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,31.9
Data,ENZYMES,clustering,13.0
BA,ENZYMES,clustering,85.1
Data,ENZYMES,clustering,1.0
BA,ENZYMES,clustering,44.6
Data,ENZYMES,clustering,250.0
BA,ENZYMES,clustering,221.5
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,33.1
Data,ENZYMES,clustering,6.0
BA,ENZYMES,clustering,92.3
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,10.9
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,26.2
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,8.4
Data,ENZYMES,clustering,33.0
BA,ENZYMES,clustering,105.3
Data,ENZYMES,clustering,5.0
BA,ENZYMES,clustering,56.2
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,5.6
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,2.6
Data,ENZYMES,clustering,571.0
BA,ENZYMES,clustering,263.2
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,4.2
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,39.2
Data,ENZYMES,clustering,16.0
BA,ENZYMES,clustering,76.6
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,1.5
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,7.4
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.9
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,30.7
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,3.7
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,98.0
BA,ENZYMES,clustering,137.5
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,17.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.6
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,1.4
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,4.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.2
Data,ENZYMES,clustering,702.0
BA,ENZYMES,clustering,175.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,2.9
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.3
Data,ENZYMES,clustering,10.0
BA,ENZYMES,clustering,54.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,6.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.6
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,14.3
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,1.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,2.5
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.6
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,3.0
BA,ENZYMES,clustering,34.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.3
Data,ENZYMES,clustering,81.0
BA,ENZYMES,clustering,50.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.7
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,1.7
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,3.0
BA,ENZYMES,clustering,7.9
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
BA,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,442.0
BA,ENZYMES,clustering,58.5
Data,ENZYMES,degree,8.0
BA,ENZYMES,degree,20.9
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,64.2
BA,ENZYMES,degree,20.6
Data,ENZYMES,degree,42.8
BA,ENZYMES,degree,13.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,748.2
BA,ENZYMES,degree,96.9
Data,ENZYMES,degree,498.8
BA,ENZYMES,degree,67.4
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,256.0
BA,ENZYMES,degree,103.0
Data,ENZYMES,degree,512.0
BA,ENZYMES,degree,223.5
Data,ENZYMES,degree,512.0
BA,ENZYMES,degree,188.1
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,260.4
BA,ENZYMES,degree,245.8
Data,ENZYMES,degree,130.2
BA,ENZYMES,degree,126.7
Data,ENZYMES,degree,260.4
BA,ENZYMES,degree,240.5
Data,ENZYMES,degree,32.2
BA,ENZYMES,degree,98.1
Data,ENZYMES,degree,32.2
BA,ENZYMES,degree,96.1
Data,ENZYMES,degree,32.2
BA,ENZYMES,degree,93.3
Data,ENZYMES,degree,64.4
BA,ENZYMES,degree,206.0
Data,ENZYMES,degree,10.4
BA,ENZYMES,degree,72.6
Data,ENZYMES,degree,10.4
BA,ENZYMES,degree,68.1
Data,ENZYMES,degree,10.4
BA,ENZYMES,degree,71.8
Data,ENZYMES,degree,20.8
BA,ENZYMES,degree,151.2
Data,ENZYMES,degree,3.2
BA,ENZYMES,degree,114.0
Data,ENZYMES,degree,1.6
BA,ENZYMES,degree,57.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,3.2
BA,ENZYMES,degree,161.6
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,40.9
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,45.3
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,125.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,31.9
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,35.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,25.8
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,72.2
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,25.2
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,25.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,22.9
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,72.2
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,39.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,62.3
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,32.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,50.6
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,25.6
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,11.9
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,29.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,20.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,8.6
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,23.8
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,16.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,6.8
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,27.5
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,6.5
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,4.8
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,18.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,5.9
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,4.1
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,3.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,12.5
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,5.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,3.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,1.7
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,8.3
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,3.2
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,2.5
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,1.2
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,9.8
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,2.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,1.1
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
BA,ENZYMES,degree,7.4
Data,ENZYMES,degree,0.0
